model,toni_ot_us_per_sample,medsec_us_per_sample,wustl_us_per_sample,nsl_kdd_us_per_sample
XGBoost,1132.78,1702.11,413.54,647.09
XGBoost_Cmatched,962.52,1648.29,378.66,595.98
RandomForest,2960.25,4435.13,2900.36,2931.29
RandomForest_Cmatched,2417.93,3762.96,2362.65,2672.36
DecisionTree,63.30,69.45,62.77,62.98
DecisionTree_Lmatched,63.33,70.74,62.58,62.72
LogisticRegression,101.17,108.92,99.55,102.03
LinearSVM,101.24,110.19,99.52,102.27
NaiveBayes,346.00,249.91,171.32,227.93
kNN_5,19718.18,74808.98,2400.74,36649.59
MLP_tiny,75.21,80.19,75.00,75.58
MLP_small,82.51,91.12,81.80,85.20
MLP_med,86.31,95.37,84.44,90.22
MLP_C,79.29,86.57,77.92,86.35
MLP_2C,84.72,96.35,81.14,97.31
Python_TM_FPTM,88.52,69.67,51.79,67.35
Julia_TM_FPTM,3.25,3.16,1.18,2.35
